Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,23250000000.0,24490000000.0,30.9,22.03,2.04,4.53,4.8,4.68,19.92,14.59,19.29,6.84,15.46,5240000000.0,16.78,5.7,2810000000.0,1270000000.0,764000000.0,2.42,-60.9,1230000000.0,3.96,2650000000.0,54.74,1.64,15.64,749000000.0,620750000.0,1.2,72.36,79.3,2560000.0,309650000.0,308580000.0,0.38,88.68,4850000.0,1.82,1.57,5680000.0
0,0,AA,0,0,0,0,1360000000.0,2330000000.0,,169.49,,0.13,0.32,0.23,4.47,-8.38,5.85,2.49,-10.18,10090000000.0,54.54,-12.4,1920000000.0,1300000000.0,-846000000.0,-4.57,,829000000.0,4.46,1800000000.0,31.01,1.5,23.01,428000000.0,710750000.0,2.12,7.03,15.73,8740000.0,185920000.0,175470000.0,0.38,77.18,10620000.0,1.04,6.4,9980000.0
0,0,AAPL,0,0,0,0,995150000000.0,943180000000.0,21.66,23.09,1.86,4.69,13.44,4.5,14.48,21.49,24.71,11.58,55.47,267680000000.0,58.99,8.9,98390000000.0,78120000000.0,57530000000.0,12.6,11.4,107160000000.0,24.49,116750000000.0,130.4,1.6,20.42,73220000000.0,45590000000.0,1.17,262.1,278.01,50750000.0,4380000000.0,4370000000.0,0.07,61.67,34640000.0,0.61,0.79,38430000.0
0,0,ABBV,0,0,0,0,121150000000.0,147950000000.0,15.54,8.5,1.28,3.66,,4.45,12.1,23.69,41.17,11.53,,33270000000.000004,22.46,4.8,25830000000.0,15710000000.0,7840000000.0,5.28,,39920000000.0,26.99,67090000000.0,,3.18,-5.53,13320000000.0,8650000000.0,0.81,77.49,84.2,12450000.0,1480000000.0,1480000000.0,0.11,76.33,84730000.0,5.73,5.74,81620000.0
0,0,ABC,0,0,0,0,17970000000.0,18900000000.0,28.15,11.55,11.9,0.1,6.08,0.1,13.28,0.36,1.03,2.94,20.82,182060000000.0,872.55,5.4,4990000000.0,2330000000.0,649350000.0,3.09,-52.3,3230000000.0,15.7,4710000000.0,153.36,0.94,14.36,2009999999.9999998,1300000000.0,0.68,85.5,87.31,1960000.0,205890000.0,148640000.0,27.78,68.44,4260000.0,2.05,2.86,4570000.0
0,0,ABT,0,0,0,0,165660000000.0,180410000000.0,47.44,32.68,4.86,5.22,5.33,5.62,26.87,11.15,15.34,,,32100000000.0,18.14,2.5,18710000000.0,7940000000.0,3540000000.0,1.99,-16.1,4139999999.9999995,2.35,19100000000.0,61.02,,17.64,,,0.92,82.66,84.57,10300000.0,1760000000.0,1750000000.0,0.71,77.13,21450000.0,1.55,1.25,23050000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACN,0,0,0,0,110300000000.0,108270000000.0,22.54,22.88,2.6,2.51,7.12,2.42,13.7,11.13,14.66,13.44,34.01,44660000000.0,70.1,6.6,13310000000.0,7200000000.0,4970000000.0,7.66,9.8,5440000000.0,8.54,3410000000.0,21.42,1.38,24.28,6560000000.0,5130000000.0,1.04,164.96,190.96,3280000.0,637030000.0,635930000.0,0.19,74.57,8820000.0,2.16,1.39,7870000.0
0,0,ACT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
0,0,ADBE,0,0,0,0,161580000000.0,162120000000.0,50.81,34.01,1.75,14.09,15.44,13.9,37.62,27.72,30.1,10.77,31.79,11660000000.0,24.05,18.8,9500000000.0,4080000000.0,3230000000.0,6.6,41.7,4170000000.0,8.66,4710000000.0,45.02,1.24,21.67,4730000000.0,3580000000.0,0.94,319.07,321.98,4040000.0,483270000.0,479970000.0,0.29,88.27,5500000.0,1.11,1.14,5860000.0
0,0,ADI,0,0,0,0,37490000000.0,42330000000.0,31.33,21.46,2.38,6.6,3.21,7.36,18.04,21.06,28.04,4.67,10.41,5750000000.0,15.59,-15.4,4010000000.0,2430000000.0,1210000000.0,3.25,-42.6,654410000.0,1.78,5950000000.0,50.9,1.08,31.75,2230000000.0,1740000000.0,1.31,95.41,109.44,3370000.0,368220000.0,366780000.0,0.33,90.22,5440000.0,1.43,1.48,4560000.0
0,0,ADM,0,0,0,0,19910000000.0,28160000000.0,14.65,11.56,1.31,0.31,1.04,0.44,9.44,2.13,2.45,2.34,7.2,64660000000.0,114.84,2.4,4150000000.0000005,2580000000.0,1380000000.0,2.44,60.0,855000000.0,1.53,9920000000.0,51.44,1.55,34.49,-5450000000.0,294620000.0,1.03,34.83,41.1,3770000.0,557210000.0,556020000.0,0.45,80.98,7690000.0,1.99,1.38,8550000.0
0,0,ADP,0,0,0,0,58680000000.0,59540000000.0,24.01,21.98,2.41,4.07,10.94,4.1,15.81,16.94,22.11,4.57,48.64,14540000000.0,33.58,5.1,6390000000.0,3660000000.0,2460000000.0,5.66,16.7,1510000000.0,3.49,2470000000.0,46.03,1.02,12.42,2890000000.0,2180000000.0,0.91,134.02,160.12,2980000.0,431750000.0,430950000.0,0.14,82.32,5560000.0,1.58,1.29,6890000.0
0,0,ADSK,0,0,0,0,38540000000.0,39240000000.0,182.86,40.32,0.99,11.93,,11.98,82.42,6.55,11.45,4.3,,3270000000.0,14.9,22.0,2980000000.0,467700000.0,214500000.0,0.96,103.7,1840000000.0,8.4,2540000000.0,,0.83,-0.63,1420000000.0,908060000.0,1.62,158.49,173.29,2400000.0,219520000.0,219090000.0,0.15,97.53,3620000.0,1.17,1.84,5160000.0
